,DATE,House_price_index,GDP,Interest_rate,Construction_mat_price,Mortgage,Unemployment_rate,Inflation_rate
0,01/01/2000,100.551,10002.179,5.0,144.1,8.21,4.0,
1,01/02/2000,101.339,,5.24,144.7,8.325,4.1,
2,01/03/2000,102.127,,5.34,145.4,8.24,4.0,
3,01/04/2000,102.922,10247.72,5.5,145.6,8.1525,3.8,
4,01/05/2000,103.678,,5.71,144.9,8.515,4.0,
5,01/06/2000,104.424,,6.0,145.0,8.288,4.0,
6,01/07/2000,105.054,10318.165,6.0,144.4,8.1475,4.0,
7,01/08/2000,105.768,,6.0,143.7,8.0275,4.1,
8,01/09/2000,106.538,,6.0,143.4,7.912,3.9,
9,01/10/2000,107.382,10435.744,6.0,143.3,7.795,3.9,
10,01/11/2000,108.302,,6.0,142.7,7.745,3.9,
11,01/12/2000,109.14,,6.0,142.5,7.382,3.9,
12,01/01/2001,109.846,10470.231,5.52,142.0,7.0325,4.2,
13,01/02/2001,110.5,,5.0,142.4,7.05,4.2,
14,01/03/2001,111.109,,4.81,142.4,6.952,4.3,
15,01/04/2001,111.652,10599.0,4.28,142.5,7.0775,4.4,
16,01/05/2001,112.164,,3.73,144.2,7.145,4.3,
17,01/06/2001,112.796,,3.47,144.3,7.16,4.5,
18,01/07/2001,113.491,10598.02,3.25,143.4,7.1275,4.6,
19,01/08/2001,114.167,,3.16,143.3,6.95,4.9,
20,01/09/2001,114.812,,2.77,143.0,6.8175,5.0,
21,01/10/2001,115.31,10660.465,2.02,142.3,6.6175,5.3,
22,01/11/2001,115.857,,1.58,142.1,6.658,5.5,
23,01/12/2001,116.455,,1.33,141.7,7.065,5.7,
24,01/01/2002,117.144,10783.5,1.25,142.0,6.9975,5.7,
25,01/02/2002,117.845,,1.25,142.2,6.8925,5.7,
26,01/03/2002,118.687,,1.25,143.2,7.014,5.7,
27,01/04/2002,119.611,10887.46,1.25,143.5,6.985,5.9,
28,01/05/2002,120.724,,1.25,143.8,6.806,5.8,
